date,energy_index
2021-03-11,142.479
2021-03-12,142.513
2021-03-13,142.546
2021-03-14,142.58
2021-03-15,142.614
2021-03-16,142.648
2021-03-17,142.682
2021-03-18,142.716
2021-03-19,142.75
2021-03-20,142.784
2021-03-21,142.817
2021-03-22,142.851
2021-03-23,142.885
2021-03-24,142.919
2021-03-25,142.953
2021-03-26,142.987
2021-03-27,143.021
2021-03-28,143.055
2021-03-29,143.088
2021-03-30,143.122
2021-03-31,143.156
2021-04-01,143.19
2021-04-02,143.569
2021-04-03,143.948
2021-04-04,144.327
2021-04-05,144.706
2021-04-06,145.085
2021-04-07,145.464
2021-04-08,145.843
2021-04-09,146.222
2021-04-10,146.601
2021-04-11,146.98
2021-04-12,147.359
2021-04-13,147.738
2021-04-14,148.117
2021-04-15,148.496
2021-04-16,148.875
2021-04-17,149.254
2021-04-18,149.633
2021-04-19,150.012
2021-04-20,150.391
2021-04-21,150.77
2021-04-22,151.149
2021-04-23,151.528
2021-04-24,151.907
2021-04-25,152.286
2021-04-26,152.665
2021-04-27,153.044
2021-04-28,153.423
2021-04-29,153.802
2021-04-30,154.181
2021-05-01,154.56
2021-05-02,155.087
2021-05-03,155.614
2021-05-04,156.141
2021-05-05,156.668
2021-05-06,157.195
2021-05-07,157.723
2021-05-08,158.25
2021-05-09,158.777
2021-05-10,159.304
2021-05-11,159.831
2021-05-12,160.358
2021-05-13,160.885
2021-05-14,161.412
2021-05-15,161.939
2021-05-16,162.466
2021-05-17,162.994
2021-05-18,163.521
2021-05-19,164.048
2021-05-20,164.575
2021-05-21,165.102
2021-05-22,165.629
2021-05-23,166.156
2021-05-24,166.683
2021-05-25,167.21
2021-05-26,167.737
2021-05-27,168.265
2021-05-28,168.792
2021-05-29,169.319
2021-05-30,169.846
2021-05-31,170.373
2021-06-01,170.9
2021-06-02,171.248
2021-06-03,171.597
2021-06-04,171.945
2021-06-05,172.293
2021-06-06,172.642
2021-06-07,172.99
2021-06-08,173.338
2021-06-09,173.687
2021-06-10,174.035
2021-06-11,174.383
2021-06-12,174.732
2021-06-13,175.08
2021-06-14,175.428
2021-06-15,175.777
2021-06-16,176.125
